token,lemme,pos
according,accord,VBG
to,to,TO
gran,gran,NN
the,the,DT
company,company,NN
has,have,VBZ
no,no,DT
plans,plan,NNS
to,to,TO
move,move,NN
all,all,DT
production,production,NN
to,to,TO
russia,russia,NN
although,although,IN
that,that,IN
is,be,VBZ
where,where,WRB
the,the,DT
company,company,NN
is,be,VBZ
growing,grow,VBG
 , , 
technopolis,technopolis,NN
plans,plan,NNS
to,to,TO
develop,develop,VB
in,in,IN
stages,stage,NNS
an,an,DT
area,area,NN
of,of,IN
no,no,DT
less,less,RBR
than,than,IN
square,square,NN
meters,meter,NNS
in,in,IN
order,order,NN
to,to,TO
host,host,NN
companies,company,NNS
working,work,VBG
in,in,IN
computer,computer,NN
technologies,technology,NNS
and,and,CC
telecommunications,telecommunication,NNS
the,the,DT
statement,statement,NN
said,say,VBD
 , , 
the,the,DT
international,international,JJ
electronic,electronic,JJ
industry,industry,NN
company,company,NN
elcoteq,elcoteq,NN
has,have,VBZ
laid,laid,NN
off,off,IN
tens,ten,NNS
of,of,IN
employees,employee,NNS
from,from,IN
its,it,PRP$
tallinn,tallinn,NN
facility,facility,NN
contrary,contrary,JJ
to,to,TO
earlier,earlier,RBR
layoffs,layoff,NNS
the,the,DT
company,company,NN
contracted,contract,VBN
the,the,DT
ranks,rank,NNS
of,of,IN
its,it,PRP$
office,office,NN
workers,worker,NNS
the,the,DT
daily,daily,JJ
postimees,postimees,NNS
reported,report,VBD
 , , 
with,with,IN
the,the,DT
new,new,JJ
production,production,NN
plant,plant,NN
the,the,DT
company,company,NN
would,would,MD
increase,increase,NN
its,it,PRP$
capacity,capacity,NN
to,to,TO
meet,meet,NN
the,the,DT
expected,expect,VBN
increase,increase,NN
in,in,IN
demand,demand,NN
and,and,CC
would,would,MD
improve,improve,VB
the,the,DT
use,use,NN
of,of,IN
raw,raw,NN
materials,material,NNS
and,and,CC
therefore,therefore,RB
increase,increase,NN
the,the,DT
production,production,NN
profitability,profitability,NN
 , , 
according,accord,VBG
to,to,TO
the,the,DT
company,company,NN
updated,update,VBN
strategy,strategy,NN
for,for,IN
the,the,DT
years,year,NNS
basware,basware,NN
targets,target,NNS
a,a,DT
net,net,NN
sales,sale,NNS
growth,growth,NN
in,in,IN
the,the,DT
range,range,NN
of,of,IN
20,20,CD
with,with,IN
an,an,DT
operating,operating,NN
profit,profit,NN
margin,margin,NN
of,of,IN
10,10,CD
of,of,IN
net,net,NN
sales,sale,NNS
 , , 
financing,financing,NN
of,of,IN
aspocomp,aspocomp,NN
growth,growth,NN
aspocomp,aspocomp,NN
is,be,VBZ
aggressively,aggressively,RB
pursuing,pursue,VBG
its,it,PRP$
growth,growth,NN
strategy,strategy,NN
by,by,IN
increasingly,increasingly,RB
focusing,focus,VBG
on,on,IN
technologically,technologically,RB
more,more,RBR
demanding,demand,VBG
hdi,hdi,NN
printed,print,VBN
circuit,circuit,NN
boards,board,NNS
pcbs,pcbs,NN
 , , 
for,for,IN
the,the,DT
last,last,JJ
quarter,quarter,NN
of,of,IN
2010,2010,CD
componenta,componenta,NN
net,net,NN
sales,sale,NNS
doubled,double,VBD
to,to,TO
eur131m,eur131m,NN
from,from,IN
eur76m,eur76m,NN
for,for,IN
the,the,DT
same,same,JJ
period,period,NN
a,a,DT
year,year,NN
earlier,earlier,RBR
while,while,IN
it,it,PRP
moved,move,VBN
to,to,TO
a,a,DT
zero,zero,NN
profit,profit,NN
from,from,IN
a,a,DT
loss,loss,NN
of,of,IN
eur7m,eur7m,NN
 , , 
in,in,IN
the,the,DT
third,third,JJ
quarter,quarter,NN
of,of,IN
2010,2010,CD
net,net,NN
sales,sale,NNS
increased,increase,VBN
by,by,IN
to,to,TO
eur,eur,NN
mn,mn,NN
and,and,CC
operating,operating,NN
profit,profit,NN
by,by,IN
to,to,TO
eur,eur,NN
mn,mn,NN
 , , 
operating,operating,NN
profit,profit,NN
rose,rise,VBD
to,to,TO
eur,eur,NN
mn,mn,NN
from,from,IN
eur,eur,NN
mn,mn,NN
in,in,IN
the,the,DT
corresponding,correspond,VBG
period,period,NN
in,in,IN
2007,2007,CD
representing,represent,VBG
of,of,IN
net,net,NN
sales,sale,NNS
 , , 
operating,operating,NN
profit,profit,NN
totalled,total,VBN
eur,eur,NN
mn,mn,NN
up,up,RB
from,from,IN
eur,eur,NN
mn,mn,NN
in,in,IN
2007,2007,CD
representing,represent,VBG
of,of,IN
net,net,NN
sales,sale,NNS
